GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
avans devopst,default,Main,189,0,0,0,27,0,2,0,2,0
avans devopst,infrastructure.adapters.scm,GitAdapter,34,0,0,0,9,0,4,0,4,0
avans devopst,domain.backlogitem.models,StateNotifier,4,71,1,5,2,23,1,7,0,5
avans devopst,domain.backlogitem.models,Activity,14,19,0,0,6,8,4,3,4,3
avans devopst,domain.backlogitem.models,BacklogItem,52,213,5,15,18,67,11,30,7,24
avans devopst,domain.scm.models,Repository,34,31,4,0,10,10,6,3,4,3
avans devopst,domain.scm.models,Branch,16,47,0,2,6,13,4,4,4,3
avans devopst,domain.scm.models,Commit,11,25,0,0,5,10,3,4,3,4
avans devopst,infrastructure.adapters.notifications,EmailAdapter,0,16,0,0,0,4,0,2,0,2
avans devopst,infrastructure.adapters.notifications,SlackAdapter,0,19,0,0,0,6,0,2,0,2
avans devopst,infrastructure.libs.scm,GitLibrary,52,0,0,0,17,0,4,0,4,0
avans devopst,infrastructure.libs.notifications,SlackLibrary,0,18,0,0,0,6,0,2,0,2
avans devopst,infrastructure.libs.notifications,EmailLibrary,0,22,0,0,0,7,0,2,0,2
avans devopst,domain.sprint.strategies,ReviewSprintStrategy,4,46,1,1,1,10,1,2,0,2
avans devopst,domain.sprint.strategies,ReleaseSprintStrategy,3,23,1,1,1,8,1,2,0,2
avans devopst,domain.thread.models,CommentNotifier,0,42,1,1,0,11,1,2,0,2
avans devopst,domain.thread.models,Comment,20,34,0,2,4,12,2,6,2,5
avans devopst,domain.thread.models,Thread,35,112,2,8,10,34,4,15,3,11
avans devopst,domain.thread.models,ThreadComponent,0,3,0,0,0,1,0,1,0,1
avans devopst,domain.pipeline,PipelineComponent,0,3,0,0,0,1,0,1,0,1
avans devopst,domain.pipeline,Pipeline,0,19,0,0,0,7,0,2,0,2
avans devopst,domain.pipeline,PipelineCompositeComponent,6,29,0,2,2,8,1,4,1,3
avans devopst,domain.pipeline,Step,0,17,0,0,0,6,0,2,0,2
avans devopst,domain.common.enums,UserRole,0,33,0,0,0,6,0,1,0,1
avans devopst,domain.notification.models,NotificationService,0,32,0,2,0,6,0,4,0,3
avans devopst,domain.backlogitem.models.states,DoneState,5,0,0,0,2,0,2,0,2,0
avans devopst,domain.backlogitem.models.states,ReadyForTestingState,2,3,0,0,1,1,1,1,1,1
avans devopst,domain.backlogitem.models.states,DoingState,2,3,0,0,1,1,1,1,1,1
avans devopst,domain.backlogitem.models.states,FinalizedState,2,3,0,0,1,1,1,1,1,1
avans devopst,domain.backlogitem.models.states,ToDoState,2,3,0,0,1,1,1,1,1,1
avans devopst,domain.backlogitem.models.states,TestedState,5,0,0,0,2,0,2,0,2,0
avans devopst,domain.backlogitem.models.states,TestingState,5,0,0,0,2,0,2,0,2,0
avans devopst,domain.common.models,User,27,54,0,0,13,20,7,7,7,7
avans devopst,domain.common.models,Project,15,139,3,5,8,39,6,18,3,17
avans devopst,domain.common.models,Backlog,14,75,1,7,6,21,5,9,4,6
avans devopst,domain.sprint.states,FinishedSprintState,23,34,0,0,7,9,3,3,3,3
avans devopst,domain.sprint.states,FinalizedSprintState,20,6,0,0,10,3,5,1,5,1
avans devopst,domain.sprint.states,CanceledSprintState,25,19,0,0,5,6,5,1,5,1
avans devopst,domain.sprint.states,StartedSprintState,27,21,0,0,9,6,4,2,4,2
avans devopst,domain.sprint.states,CreatedSprintState,23,39,0,0,7,10,3,3,3,3
avans devopst,domain.sprint.states,raportedSprintState,34,6,0,0,11,3,5,1,5,1
avans devopst,domain.sprint,Sprint,65,193,11,11,23,65,14,25,6,22
avans devopst,domain.sprintraport,Raport,13,35,0,0,4,13,4,4,4,4
avans devopst,domain.sprintraport,RaportBuilder,0,37,0,0,0,11,0,5,0,5
